dataset,features_varied,metrics,numb_of_cfs,f1_score
Wine,all,abno,98,0.4472049689440994
Wine,all,abno,98,0.6851851851851852
Wine,all,abno,100,0.45945945945945954
Wine,all,abno,93,0.7011070110701108
Wine,all,abno,98,0.6980392156862745
Wine,all,abno,98,0.7603305785123967
Wine,all,abno,96,0.715909090909091
Wine,all,abno,99,0.6311475409836066
Wine,all,abno,96,0.6569343065693432
Wine,all,abno,95,0.6256410256410256
Wine,all,abno,97,0.45679012345679015
Wine,all,abno,100,0.6948356807511737
Wine,all,abno,99,0.4489795918367347
Wine,all,abno,89,0.7011070110701108
Wine,all,abno,91,0.6612903225806451
Wine,all,abno,98,0.7863247863247863
Wine,all,abno,98,0.6666666666666666
Wine,all,abno,97,0.6466165413533834
Wine,all,abno,95,0.583732057416268
Wine,all,abno,99,0.6943005181347149
Wine,all,abno,98,0.4342105263157895
Wine,all,abno,97,0.6824644549763034
Wine,all,abno,100,0.45945945945945954
Wine,all,abno,86,0.7011070110701108
Wine,all,abno,95,0.6850393700787402
Wine,all,abno,97,0.7811158798283262
Wine,all,abno,99,0.6666666666666666
Wine,all,abno,100,0.6255506607929516
Wine,all,abno,91,0.4895833333333333
Wine,all,abno,100,0.6021505376344087
Wine,all,abno,96,0.5111111111111112
Wine,all,abno,99,0.6824644549763034
Wine,all,abno,95,0.4743589743589744
Wine,all,abno,88,0.7153284671532847
Wine,all,abno,98,0.7076923076923077
Wine,all,abno,97,0.7863247863247863
Wine,all,abno,97,0.7071823204419889
Wine,all,abno,96,0.6351931330472104
Wine,all,abno,92,0.6593406593406593
Wine,all,abno,98,0.6096256684491977
Wine,all,abno,96,0.5625000000000001
Wine,all,abno,98,0.6948356807511737
Wine,all,abno,98,0.4900662251655629
Wine,all,abno,92,0.7011070110701108
Wine,all,abno,97,0.6929133858267715
Wine,all,abno,98,0.7634854771784233
Wine,all,gene,96,0.6890756302521008
Wine,all,gene,100,0.6444444444444444
Wine,all,gene,94,0.6515151515151516
Wine,all,gene,100,0.6919431279620853
Wine,all,gene,98,0.12962962962962962
Wine,all,gene,98,0.7111111111111111
Wine,all,gene,100,0.5576923076923077
Wine,all,gene,93,0.7158671586715868
Wine,all,gene,98,0.6863468634686347
Wine,all,gene,98,0.7307692307692308
Wine,all,gene,96,0.6392694063926941
Wine,all,gene,99,0.6444444444444444
Wine,all,gene,96,0.691358024691358
Wine,all,gene,95,0.6919431279620853
Wine,all,gene,97,0.12962962962962962
Wine,all,gene,100,0.7142857142857142
Wine,all,gene,99,0.5576923076923077
Wine,all,gene,89,0.7158671586715868
Wine,all,gene,91,0.6863468634686347
Wine,all,gene,98,0.6347305389221557
Wine,all,gene,98,0.6392694063926941
Wine,all,gene,97,0.6444444444444444
Wine,all,gene,95,0.6816143497757847
Wine,all,gene,99,0.6162790697674418
Wine,all,gene,98,0.12962962962962962
Wine,all,gene,97,0.6824644549763034
Wine,all,gene,100,0.5948275862068966
Wine,all,gene,86,0.7158671586715868
Wine,all,gene,95,0.7027027027027026
Wine,all,gene,97,0.7307692307692308
Wine,all,gene,99,0.6893617021276595
Wine,all,gene,100,0.6444444444444444
Wine,all,gene,91,0.7186147186147186
Wine,all,gene,100,0.6919431279620853
Wine,all,gene,96,0.12962962962962962
Wine,all,gene,99,0.7142857142857142
Wine,all,gene,95,0.5948275862068966
Wine,all,gene,88,0.7158671586715868
Wine,all,gene,98,0.7054263565891471
Wine,all,gene,97,0.7307692307692308
Wine,all,gene,97,0.6392694063926941
Wine,all,gene,96,0.6444444444444444
Wine,all,gene,92,0.6816143497757847
Wine,all,gene,98,0.6919431279620853
Wine,all,gene,96,0.12962962962962962
Wine,all,gene,98,0.7111111111111111
Wine,all,gene,98,0.5576923076923077
Wine,all,gene,92,0.7158671586715868
Wine,all,gene,97,0.6863468634686347
Wine,all,gene,98,0.7307692307692308
Wine,all,prox,96,0.6737967914438503
Wine,all,prox,100,0.6638655462184875
Wine,all,prox,94,0.6515837104072398
Wine,all,prox,100,0.624203821656051
Wine,all,prox,98,0.4819277108433735
Wine,all,prox,98,0.6480446927374302
Wine,all,prox,100,0.5686274509803922
Wine,all,prox,93,0.6949806949806949
Wine,all,prox,98,0.7387387387387387
Wine,all,prox,98,0.6923076923076922
Wine,all,prox,96,0.7500000000000001
Wine,all,prox,99,0.6497890295358649
Wine,all,prox,96,0.6515837104072398
Wine,all,prox,95,0.624203821656051
Wine,all,prox,97,0.5297297297297296
Wine,all,prox,100,0.6480446927374302
Wine,all,prox,99,0.5686274509803922
Wine,all,prox,89,0.6949806949806949
Wine,all,prox,91,0.7325102880658436
Wine,all,prox,98,0.6923076923076922
Wine,all,prox,98,0.6702702702702702
Wine,all,prox,97,0.6916666666666667
Wine,all,prox,95,0.6515837104072398
Wine,all,prox,99,0.624203821656051
Wine,all,prox,98,0.4819277108433735
Wine,all,prox,97,0.6480446927374302
Wine,all,prox,100,0.5686274509803922
Wine,all,prox,86,0.6949806949806949
Wine,all,prox,95,0.7387387387387387
Wine,all,prox,97,0.6923076923076922
Wine,all,prox,99,0.6702702702702702
Wine,all,prox,100,0.6497890295358649
Wine,all,prox,91,0.6515837104072398
Wine,all,prox,100,0.624203821656051
Wine,all,prox,96,0.5297297297297296
Wine,all,prox,99,0.6480446927374302
Wine,all,prox,95,0.5686274509803922
Wine,all,prox,88,0.6949806949806949
Wine,all,prox,98,0.7387387387387387
Wine,all,prox,97,0.6923076923076922
Wine,all,prox,97,0.7536231884057971
Wine,all,prox,96,0.6497890295358649
Wine,all,prox,92,0.6515837104072398
Wine,all,prox,98,0.624203821656051
Wine,all,prox,96,0.5297297297297296
Wine,all,prox,98,0.6480446927374302
Wine,all,prox,98,0.5686274509803922
Wine,all,prox,92,0.6949806949806949
Wine,all,prox,97,0.7387387387387387
Wine,all,prox,98,0.6923076923076922
Wine,all,obta,96,0.7019230769230769
Wine,all,obta,100,0.6403508771929824
Wine,all,obta,94,0.640625
Wine,all,obta,100,0.6458333333333334
Wine,all,obta,98,0.4472049689440994
Wine,all,obta,98,0.7387387387387387
Wine,all,obta,100,0.4383561643835616
Wine,all,obta,93,0.7432950191570882
Wine,all,obta,98,0.6742424242424243
Wine,all,obta,98,0.7565217391304347
Wine,all,obta,96,0.7012987012987013
Wine,all,obta,99,0.6311475409836066
Wine,all,obta,96,0.6451612903225806
Wine,all,obta,95,0.6256410256410256
Wine,all,obta,97,0.45679012345679015
Wine,all,obta,100,0.6824644549763034
Wine,all,obta,99,0.4383561643835616
Wine,all,obta,89,0.754863813229572
Wine,all,obta,91,0.6612903225806451
Wine,all,obta,98,0.7933884297520661
Wine,all,obta,98,0.7289719626168225
Wine,all,obta,97,0.6466165413533834
Wine,all,obta,95,0.6451612903225806
Wine,all,obta,99,0.6943005181347149
Wine,all,obta,98,0.4342105263157895
Wine,all,obta,97,0.7155963302752293
Wine,all,obta,100,0.4489795918367347
Wine,all,obta,86,0.7490039840637449
Wine,all,obta,95,0.6949806949806949
Wine,all,obta,97,0.7565217391304347
Wine,all,obta,99,0.7379679144385026
Wine,all,obta,100,0.6255506607929516
Wine,all,obta,91,0.6403162055335969
Wine,all,obta,100,0.6021505376344087
Wine,all,obta,96,0.5111111111111112
Wine,all,obta,99,0.7155963302752293
Wine,all,obta,95,0.5882352941176471
Wine,all,obta,88,0.7340823970037452
Wine,all,obta,98,0.6612903225806451
Wine,all,obta,97,0.771186440677966
Wine,all,obta,97,0.6909090909090909
Wine,all,obta,96,0.6351931330472104
Wine,all,obta,92,0.6451612903225806
Wine,all,obta,98,0.6096256684491977
Wine,all,obta,96,0.5625000000000001
Wine,all,obta,98,0.6824644549763034
Wine,all,obta,98,0.44594594594594594
Wine,all,obta,92,0.7470817120622568
Wine,all,obta,97,0.6612903225806451
Wine,all,obta,98,0.732824427480916
Wine,all,all,96,0.683937823834197
Wine,all,all,100,0.6217228464419475
Wine,all,all,94,0.6976744186046512
Wine,all,all,100,0.6761904761904762
Wine,all,all,98,0.5833333333333334
Wine,all,all,98,0.7142857142857142
Wine,all,all,100,0.6666666666666666
Wine,all,all,93,0.7259259259259259
Wine,all,all,98,0.7054263565891471
Wine,all,all,98,0.7796610169491526
Wine,all,all,96,0.6754385964912281
Wine,all,all,99,0.6217228464419475
Wine,all,all,96,0.6838235294117646
Wine,all,all,95,0.6761904761904762
Wine,all,all,97,0.5833333333333334
Wine,all,all,100,0.6824644549763034
Wine,all,all,99,0.6666666666666666
Wine,all,all,89,0.7259259259259259
Wine,all,all,91,0.7169811320754716
Wine,all,all,98,0.7634854771784233
Wine,all,all,98,0.6754385964912281
Wine,all,all,97,0.6319702602230484
Wine,all,all,95,0.6976744186046512
Wine,all,all,99,0.6871794871794872
Wine,all,all,98,0.6175115207373272
Wine,all,all,97,0.7142857142857142
Wine,all,all,100,0.6666666666666666
Wine,all,all,86,0.7259259259259259
Wine,all,all,95,0.7054263565891471
Wine,all,all,97,0.7634854771784233
Wine,all,all,99,0.6754385964912281
Wine,all,all,100,0.6217228464419475
Wine,all,all,91,0.7049808429118773
Wine,all,all,100,0.6761904761904762
Wine,all,all,96,0.5833333333333334
Wine,all,all,99,0.6824644549763034
Wine,all,all,95,0.6666666666666666
Wine,all,all,88,0.7352941176470588
Wine,all,all,98,0.7054263565891471
Wine,all,all,97,0.7634854771784233
Wine,all,all,97,0.6754385964912281
Wine,all,all,96,0.6217228464419475
Wine,all,all,92,0.6976744186046512
Wine,all,all,98,0.6761904761904762
Wine,all,all,96,0.5833333333333334
Wine,all,all,98,0.7142857142857142
Wine,all,all,98,0.6666666666666666
Wine,all,all,92,0.7259259259259259
Wine,all,all,97,0.7054263565891471
Wine,all,all,98,0.7796610169491526
