dataset,features_varied,metrics,numb_of_cfs,f1_score
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8403361344537814
Admission,all,prox,100,0.8097165991902835
Admission,all,prox,100,0.8646288209606987
Admission,all,prox,100,0.8474576271186441
Admission,all,prox,100,0.6837606837606838
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.7950819672131147
Admission,all,prox,100,0.8163265306122449
Admission,all,prox,100,0.8646288209606987
Admission,all,prox,100,0.8333333333333333
Admission,all,prox,100,0.6837606837606838
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.8130081300813007
Admission,all,prox,100,0.8
Admission,all,prox,100,0.8547008547008548
Admission,all,prox,100,0.851063829787234
Admission,all,prox,100,0.6837606837606838
Admission,all,prox,100,0.8532110091743119
Admission,all,prox,100,0.7950819672131147
Admission,all,prox,100,0.819672131147541
Admission,all,prox,100,0.8547008547008548
Admission,all,obta,100,0.8251121076233183
Admission,all,obta,100,0.07874015748031496
Admission,all,obta,100,0.8468468468468469
Admission,all,obta,100,0.35064935064935066
Admission,all,obta,100,0.8403361344537814
Admission,all,obta,100,0.819672131147541
Admission,all,obta,100,0.8230088495575221
Admission,all,obta,100,0.36464088397790057
Admission,all,obta,100,0.8597285067873304
Admission,all,obta,100,0.128
Admission,all,obta,100,0.8421052631578947
Admission,all,obta,100,0.8421052631578947
Admission,all,obta,100,0.8245614035087719
Admission,all,obta,100,0.07246376811594202
Admission,all,obta,100,0.8622222222222223
Admission,all,obta,100,0.5789473684210527
Admission,all,obta,100,0.8497854077253219
Admission,all,obta,100,0.8658008658008659
Admission,all,obta,100,0.8230088495575221
Admission,all,obta,100,0.5806451612903226
Admission,all,obta,100,0.8161434977578476
Admission,all,obta,100,0.06837606837606838
Admission,all,obta,100,0.8380952380952381
Admission,all,obta,100,0.853448275862069
Admission,all,obta,100,0.832579185520362
Admission,all,obta,100,0.08633093525179857
Admission,all,obta,100,0.832579185520362
Admission,all,obta,100,0.7800829875518672
Admission,all,obta,100,0.8230088495575221
Admission,all,obta,100,0.8438818565400844
Admission,all,all,100,0.8474576271186441
Admission,all,all,100,0.7131147540983607
Admission,all,all,100,0.8571428571428572
Admission,all,all,100,0.8474576271186441
Admission,all,all,100,0.8368200836820083
Admission,all,all,100,0.8474576271186441
Admission,all,all,100,0.8368200836820083
Admission,all,all,100,0.7235772357723577
