dataset,features_varied,metrics,numb_of_cfs,f1_score
Credit,all,abno,99,0.5654008438818565
Credit,all,abno,100,0.392156862745098
Credit,all,abno,100,0.3619047619047619
Credit,all,abno,100,0.272300469483568
Credit,all,abno,100,0.4236453201970444
Credit,all,abno,100,0.2064516129032257
Credit,all,abno,100,0.6772908366533864
Credit,all,abno,100,0.2013422818791946
Credit,all,abno,100,0.25
Credit,all,abno,99,0.5670498084291188
Credit,all,abno,100,0.2941176470588235
Credit,all,abno,100,0.3673469387755102
Credit,all,abno,100,0.3137254901960784
Credit,all,abno,100,0.2803738317757009
Credit,all,abno,100,0.4245283018867924
Credit,all,abno,100,0.2264150943396226
Credit,all,abno,100,0.112
Credit,all,abno,99,0.2337662337662337
Credit,all,abno,97,0.3894736842105263
Credit,all,abno,100,0.5670498084291188
Credit,all,abno,100,0.5726141078838175
Credit,all,abno,100,0.4137931034482758
Credit,all,abno,100,0.3944954128440366
Credit,all,abno,100,0.2392344497607655
Credit,all,abno,100,0.4545454545454545
Credit,all,abno,100,0.2389937106918238
Credit,all,abno,99,0.0714285714285714
Credit,all,abno,100,0.2251655629139073
Credit,all,abno,93,0.3870967741935484
Credit,all,abno,99,0.5365853658536586
Credit,all,abno,100,0.3655913978494624
Credit,all,abno,100,0.4932735426008968
Credit,all,abno,99,0.3365384615384615
Credit,all,abno,100,0.2803738317757009
Credit,all,abno,100,0.4075829383886256
Credit,all,abno,100,0.2077922077922077
Credit,all,abno,99,0.0545454545454545
Credit,all,abno,100,0.1944444444444444
Credit,all,abno,94,0.3723404255319149
Credit,all,abno,100,0.5748031496062992
Credit,all,abno,100,0.5439330543933054
Credit,all,abno,100,0.3278688524590164
Credit,all,abno,100,0.4070796460176991
Credit,all,abno,99,0.2641509433962264
Credit,all,abno,100,0.4170616113744075
Credit,all,gene,100,0.2857142857142856
Credit,all,gene,100,0.3769633507853402
Credit,all,gene,100,0.2266666666666667
Credit,all,gene,98,0.4374999999999999
Credit,all,gene,100,0.4854368932038835
Credit,all,gene,99,0.1276595744680851
Credit,all,gene,100,0.2762430939226519
Credit,all,gene,100,0.5063291139240507
Credit,all,gene,100,0.4738955823293172
Credit,all,gene,100,0.1910828025477707
Credit,all,gene,100,0.1176470588235294
Credit,all,gene,100,0.2266666666666667
Credit,all,gene,100,0.1313868613138686
Credit,all,gene,100,0.3023255813953488
Credit,all,gene,99,0.6067415730337079
Credit,all,gene,100,0.348314606741573
Credit,all,gene,100,0.0168067226890756
Credit,all,gene,100,0.431924882629108
Credit,all,gene,100,0.4677419354838709
Credit,all,gene,100,0.251497005988024
Credit,all,gene,100,0.2077922077922077
Credit,all,gene,100,0.0555555555555555
Credit,all,gene,99,0.3707865168539325
Credit,all,gene,97,0.0476190476190476
Credit,all,gene,100,0.3294117647058824
Credit,all,gene,100,0.0495867768595041
Credit,all,gene,100,0.396039603960396
Credit,all,gene,100,0.4553571428571428
Credit,all,gene,100,0.4444444444444445
Credit,all,gene,100,0.253012048192771
Credit,all,gene,100,0.3369565217391304
Credit,all,gene,99,0.038095238095238
Credit,all,gene,100,0.1052631578947368
Credit,all,gene,93,0.1134751773049645
Credit,all,gene,99,0.6192170818505339
Credit,all,gene,100,0.4193548387096774
Credit,all,gene,100,0.0336134453781512
Credit,all,gene,99,0.4894514767932489
Credit,all,gene,100,0.4596774193548386
Credit,all,gene,100,0.1756756756756756
Credit,all,gene,100,0.2051282051282051
Credit,all,gene,99,0.038095238095238
Credit,all,gene,100,0.1052631578947368
Credit,all,gene,94,0.225
Credit,all,gene,100,0.6312056737588653
Credit,all,gene,100,0.0769230769230769
Credit,all,gene,100,0.0735294117647058
Credit,all,gene,100,0.4414414414414415
Credit,all,gene,99,0.4444444444444445
Credit,all,gene,100,0.3111111111111111
Credit,all,prox,100,0.5896414342629481
Credit,all,prox,100,0.6363636363636365
Credit,all,prox,100,0.5943775100401606
Credit,all,prox,98,0.5725806451612903
Credit,all,prox,100,0.5914396887159533
Credit,all,prox,99,0.5654008438818565
Credit,all,prox,100,0.5714285714285715
Credit,all,prox,100,0.4298245614035087
Credit,all,prox,100,0.3668122270742358
Credit,all,prox,100,0.5528455284552846
Credit,all,prox,100,0.5896414342629481
Credit,all,prox,100,0.5641025641025641
Credit,all,prox,100,0.5943775100401606
Credit,all,prox,100,0.5691056910569106
Credit,all,prox,99,0.5914396887159533
Credit,all,prox,100,0.5783132530120482
Credit,all,prox,100,0.5714285714285715
Credit,all,prox,100,0.4298245614035087
Credit,all,prox,100,0.3668122270742358
Credit,all,prox,100,0.5349794238683128
Credit,all,prox,100,0.5896414342629481
Credit,all,prox,100,0.6080000000000001
Credit,all,prox,99,0.5603448275862069
Credit,all,prox,97,0.4141414141414141
Credit,all,prox,100,0.5914396887159533
Credit,all,prox,100,0.6135458167330677
Credit,all,prox,100,0.5714285714285715
Credit,all,prox,100,0.4298245614035087
Credit,all,prox,100,0.3668122270742358
Credit,all,prox,100,0.5349794238683128
Credit,all,prox,100,0.5896414342629481
Credit,all,prox,99,0.5284974093264249
Credit,all,prox,100,0.5943775100401606
Credit,all,prox,93,0.5725806451612903
Credit,all,prox,99,0.5914396887159533
Credit,all,prox,100,0.5772357723577236
Credit,all,prox,100,0.5714285714285715
Credit,all,prox,99,0.4298245614035087
Credit,all,prox,100,0.3668122270742358
Credit,all,prox,100,0.5349794238683128
Credit,all,prox,100,0.5896414342629481
Credit,all,prox,99,0.652542372881356
Credit,all,prox,100,0.5943775100401606
Credit,all,prox,94,0.5691056910569106
Credit,all,prox,100,0.5914396887159533
Credit,all,prox,100,0.616600790513834
Credit,all,prox,100,0.5714285714285715
Credit,all,prox,100,0.4298245614035087
Credit,all,prox,99,0.3668122270742358
Credit,all,prox,100,0.5349794238683128
Credit,all,obta,100,0.3169398907103825
Credit,all,obta,100,0.3066666666666666
Credit,all,obta,100,0.3715846994535519
Credit,all,obta,98,0.2631578947368421
Credit,all,obta,100,0.5546875
Credit,all,obta,99,0.0787401574803149
Credit,all,obta,100,0.3961352657004831
Credit,all,obta,100,0.5703422053231939
Credit,all,obta,100,0.2476190476190476
Credit,all,obta,100,0.0583941605839416
Credit,all,obta,100,0.5158371040723982
Credit,all,obta,100,0.594142259414226
Credit,all,obta,100,0.374331550802139
Credit,all,obta,100,0.351063829787234
Credit,all,obta,99,0.5327868852459017
Credit,all,obta,100,0.3979057591623037
Credit,all,obta,100,0.3278688524590164
Credit,all,obta,100,0.5895522388059701
Credit,all,obta,100,0.376068376068376
Credit,all,obta,100,0.4368932038834952
Credit,all,obta,100,0.4263959390862944
Credit,all,obta,100,0.378698224852071
Credit,all,obta,99,0.5462555066079294
Credit,all,obta,97,0.1267605633802817
Credit,all,obta,100,0.5681818181818182
Credit,all,obta,100,0.4615384615384615
Credit,all,obta,100,0.3296703296703297
Credit,all,obta,100,0.582089552238806
Credit,all,obta,100,0.272300469483568
Credit,all,obta,100,0.4334975369458128
Credit,all,obta,100,0.5
Credit,all,obta,99,0.0545454545454545
Credit,all,obta,100,0.4878048780487805
Credit,all,obta,93,0.2608695652173913
Credit,all,obta,99,0.5546875
Credit,all,obta,100,0.4834123222748815
Credit,all,obta,100,0.3387978142076502
Credit,all,obta,99,0.4595744680851064
Credit,all,obta,100,0.376068376068376
Credit,all,obta,100,0.0735294117647058
Credit,all,obta,100,0.3478260869565217
Credit,all,obta,99,0.0377358490566037
Credit,all,obta,100,0.1690140845070422
Credit,all,obta,94,0.2485207100591716
Credit,all,obta,100,0.5670498084291188
Credit,all,obta,100,0.125
Credit,all,obta,100,0.394088669950739
Credit,all,obta,100,0.6153846153846154
Credit,all,obta,99,0.4279835390946502
Credit,all,obta,100,0.2208588957055214
Credit,all,all,100,0.5023255813953489
Credit,all,all,100,0.6393442622950819
Credit,all,all,100,0.416243654822335
Credit,all,all,98,0.4102564102564102
Credit,all,all,100,0.6344827586206897
Credit,all,all,99,0.4532019704433497
Credit,all,all,100,0.396039603960396
Credit,all,all,100,0.6308243727598566
Credit,all,all,100,0.3755458515283842
Credit,all,all,100,0.5267489711934156
Credit,all,all,100,0.5114155251141552
Credit,all,all,100,0.5312500000000001
Credit,all,all,100,0.5943775100401606
Credit,all,all,100,0.3548387096774193
Credit,all,all,99,0.6344827586206897
Credit,all,all,100,0.5925925925925927
Credit,all,all,100,0.4474885844748858
Credit,all,all,100,0.6376811594202899
Credit,all,all,100,0.4822134387351778
Credit,all,all,100,0.4636363636363636
Credit,all,all,100,0.5114155251141552
Credit,all,all,100,0.5312500000000001
Credit,all,all,99,0.391304347826087
Credit,all,all,97,0.4532019704433497
Credit,all,all,100,0.6391752577319587
Credit,all,all,100,0.5726141078838175
Credit,all,all,100,0.4077669902912621
Credit,all,all,100,0.6308243727598566
Credit,all,all,100,0.3755458515283842
Credit,all,all,100,0.5343511450381679
Credit,all,all,100,0.4666666666666667
Credit,all,all,99,0.2758620689655173
Credit,all,all,100,0.5943775100401606
Credit,all,all,93,0.4102564102564102
Credit,all,all,99,0.6391752577319587
Credit,all,all,100,0.3846153846153846
Credit,all,all,100,0.38
Credit,all,all,99,0.643939393939394
Credit,all,all,100,0.4822134387351778
Credit,all,all,100,0.5343511450381679
Credit,all,all,100,0.5114155251141552
Credit,all,all,99,0.0555555555555555
Credit,all,all,100,0.5943775100401606
Credit,all,all,94,0.3240223463687151
Credit,all,all,100,0.6344827586206897
Credit,all,all,100,0.4532019704433497
Credit,all,all,100,0.3768115942028985
Credit,all,all,100,0.6308243727598566
